customer_id,age,gender,plan,monthly_bill,tenure,support_calls,data_usage,payment_method,churn
CUST00160,30,Male,Basic,25.49,4,3,26.64,Bank Transfer,No
CUST00161,68,Male,Premium,60.27,72,1,23.66,Mobile Wallet,No
CUST00162,49,Male,Basic,33.47,44,6,11.29,Bank Transfer,No
CUST00163,56,Male,Basic,34.88,49,2,29.65,Mobile Wallet,No
CUST00164,66,Male,Standard,46.02,40,6,16.72,Card,No
CUST00165,69,Male,Premium,83.46,68,2,25.33,Mobile Wallet,No
CUST00166,49,Female,Premium,72.07,71,3,8.13,Card,No
CUST00167,21,Female,Standard,53.66,10,1,21.01,Card,No
CUST00168,47,Male,Basic,26.67,70,2,46.59,Bank Transfer,No
CUST00169,54,Female,Premium,89.42,4,5,18.62,Bank Transfer,Yes
CUST00170,40,Male,Standard,47.94,21,3,9.76,Bank Transfer,No
CUST00171,56,Male,Standard,67.9,42,3,11.02,Bank Transfer,No
CUST00172,62,Female,Premium,76.29,6,4,23.54,Bank Transfer,No
CUST00173,32,Male,Standard,58.45,11,2,44.1,Cash,No
CUST00174,60,Male,Basic,36.86,12,0,32.39,Cash,No
CUST00175,46,Male,Premium,74.78,31,3,10.36,Bank Transfer,Yes
CUST00176,53,Female,Standard,47.71,31,4,18.96,Mobile Wallet,No
CUST00177,30,Female,Basic,25.2,43,7,34.46,Bank Transfer,No
CUST00178,49,Female,Basic,27.25,58,4,10.51,Mobile Wallet,No
CUST00179,24,Female,Standard,28.42,50,3,11.45,Card,No
CUST00180,68,Male,Basic,30.85,41,0,33.23,Bank Transfer,No
CUST00181,39,Female,Basic,39.84,36,4,21.68,Mobile Wallet,No
CUST00182,45,Female,Standard,47.67,44,1,7.21,Card,No
CUST00183,19,Female,Premium,82.1,66,8,20.15,Mobile Wallet,Yes
CUST00184,59,Male,Standard,40.0,15,2,43.81,Mobile Wallet,No
CUST00185,62,Female,Standard,54.96,34,3,37.0,Bank Transfer,Yes
CUST00186,70,Female,Standard,43.98,70,6,34.78,Bank Transfer,No
CUST00187,23,Male,Standard,47.37,44,4,12.45,Card,No
CUST00188,45,Male,Basic,30.0,33,1,2.23,Bank Transfer,No
CUST00189,45,Male,Premium,50.44,6,3,43.78,Mobile Wallet,No
CUST00190,61,Male,Standard,59.31,40,0,41.64,Mobile Wallet,No
CUST00191,61,Female,Basic,22.36,6,1,7.93,Card,No
CUST00192,37,Male,Basic,46.56,14,7,42.01,Card,Yes
CUST00193,47,Female,Standard,55.94,5,2,29.16,Card,Yes
CUST00194,28,Female,Basic,33.69,45,1,28.01,Bank Transfer,No
CUST00195,45,Female,Basic,27.16,59,1,38.29,Mobile Wallet,No
CUST00196,42,Female,Standard,62.01,43,2,28.68,Card,No
CUST00197,56,Female,Premium,65.33,53,1,10.38,Card,No
CUST00198,50,Male,Standard,47.06,27,3,8.71,Mobile Wallet,No
CUST00199,18,Female,Basic,32.35,69,2,9.17,Bank Transfer,No
CUST00200,44,Female,Basic,28.55,69,4,35.23,Bank Transfer,No
CUST00201,69,Female,Standard,43.74,48,1,27.74,Card,No
CUST00202,30,Male,Basic,27.91,25,1,55.68,Bank Transfer,No
CUST00203,58,Female,Standard,44.58,8,3,30.06,Bank Transfer,No
CUST00204,20,Female,Basic,24.57,32,4,17.6,Bank Transfer,No
CUST00205,56,Male,Premium,88.67,61,4,10.91,Mobile Wallet,No
CUST00206,23,Female,Standard,51.97,1,2,19.44,Mobile Wallet,No
CUST00207,25,Female,Basic,25.62,31,1,14.82,Bank Transfer,No
CUST00208,44,Male,Premium,77.96,71,3,22.86,Card,No
CUST00209,26,Female,Basic,25.67,15,2,27.9,Mobile Wallet,No
CUST00210,54,Female,Basic,15.76,70,2,16.94,Bank Transfer,No
CUST00211,50,Female,Premium,81.96,16,1,44.79,Card,Yes
CUST00212,68,Female,Basic,34.37,72,6,20.62,Cash,No
CUST00213,59,Female,Standard,42.86,57,0,8.48,Bank Transfer,No
CUST00214,61,Male,Basic,31.16,11,2,18.88,Bank Transfer,Yes
CUST00215,41,Male,Basic,22.02,18,3,68.39,Card,No
CUST00216,32,Male,Basic,24.41,45,4,19.87,Card,No
CUST00217,49,Female,Standard,60.58,20,3,17.48,Cash,No
CUST00218,49,Female,Standard,51.25,14,2,17.45,Card,No
CUST00219,41,Female,Basic,22.0,27,3,12.74,Mobile Wallet,No
CUST00220,58,Male,Basic,31.48,9,6,16.86,Card,Yes
CUST00221,69,Female,Premium,68.22,13,4,23.03,Bank Transfer,Yes
CUST00222,66,Female,Premium,69.63,45,3,9.32,Mobile Wallet,No
CUST00223,66,Female,Standard,51.59,8,5,5.86,Mobile Wallet,Yes
CUST00224,69,Male,Premium,80.46,56,2,36.91,Mobile Wallet,No
CUST00225,29,Male,Standard,28.33,7,0,41.25,Bank Transfer,No
CUST00226,56,Female,Basic,31.41,15,5,14.71,Card,No
CUST00227,19,Female,Basic,32.3,56,2,25.25,Card,No
CUST00228,20,Female,Basic,35.23,56,5,26.87,Bank Transfer,No
CUST00229,66,Male,Premium,58.1,37,1,42.51,Cash,No
CUST00230,54,Male,Standard,45.31,64,8,32.89,Mobile Wallet,No
CUST00231,66,Male,Standard,40.51,17,1,21.23,Bank Transfer,No
CUST00232,34,Female,Basic,34.94,21,8,40.73,Cash,No
CUST00233,66,Male,Standard,36.67,52,4,55.93,Cash,No
CUST00234,19,Female,Standard,52.82,33,5,23.46,Card,No
CUST00235,19,Female,Premium,81.06,12,1,37.85,Mobile Wallet,Yes
CUST00236,45,Male,Basic,35.68,46,0,21.5,Bank Transfer,No
CUST00237,40,Female,Standard,35.74,70,2,21.54,Card,No
CUST00238,54,Male,Basic,27.52,71,1,9.12,Bank Transfer,No
CUST00239,49,Female,Standard,50.75,57,2,19.46,Mobile Wallet,No
CUST00240,50,Female,Standard,62.19,20,2,20.99,Mobile Wallet,Yes
CUST00241,18,Male,Basic,23.11,68,6,,Card,No
CUST00242,36,Female,Standard,41.87,44,7,20.63,Mobile Wallet,Yes
CUST00243,19,Female,Basic,28.31,30,2,17.18,Card,No
CUST00244,70,Female,Premium,69.37,25,1,11.64,Bank Transfer,No
CUST00245,61,Female,Basic,23.96,31,3,46.48,Card,No
CUST00246,43,Female,Standard,48.06,2,2,24.12,Cash,No
CUST00247,49,Female,Premium,84.88,54,2,9.57,Card,No
CUST00248,23,Female,Basic,28.79,14,2,11.42,Mobile Wallet,Yes
CUST00249,49,Female,Standard,69.01,23,2,4.55,Cash,Yes
CUST00250,21,Male,Standard,50.63,69,2,9.6,Bank Transfer,No
CUST00251,28,Male,Basic,20.15,52,4,5.31,Mobile Wallet,No
CUST00252,34,Female,Standard,57.42,50,5,22.66,Card,No
CUST00253,55,Female,Standard,,71,2,27.58,Mobile Wallet,No
CUST00254,41,Male,Premium,63.53,33,1,4.88,Card,No
CUST00255,22,Female,Premium,85.97,9,1,27.91,Mobile Wallet,No
CUST00256,69,Male,Standard,54.59,8,5,10.78,Card,No
CUST00257,51,Male,Standard,57.25,7,0,,Card,No
CUST00258,23,Male,Premium,72.94,21,6,24.18,Mobile Wallet,No
CUST00259,39,Female,Standard,31.35,53,4,12.24,Bank Transfer,No
CUST00260,28,Female,Basic,24.68,15,6,22.87,Card,No
CUST00261,65,Female,Standard,58.57,72,3,12.88,Cash,No
CUST00262,33,Male,Premium,75.25,52,2,16.41,Mobile Wallet,No
CUST00263,50,Male,Standard,46.94,69,4,22.37,Bank Transfer,Yes
CUST00264,26,Male,Standard,65.87,72,2,24.21,Card,No
CUST00265,23,Female,Basic,24.52,37,4,45.94,Card,No
CUST00266,33,Male,Premium,68.44,4,5,29.59,Cash,Yes
CUST00267,46,Male,Standard,57.83,61,3,30.71,Cash,No
CUST00268,20,Female,Standard,42.28,22,3,18.4,Mobile Wallet,No
CUST00269,37,Male,Basic,25.43,49,1,25.38,Card,No
CUST00270,53,Male,Basic,33.14,36,1,37.42,Card,No
CUST00271,36,Female,Standard,53.22,63,5,37.74,Bank Transfer,No
CUST00272,43,Female,Premium,86.27,38,4,54.01,Card,No
CUST00273,20,Male,Basic,32.39,40,1,54.12,Bank Transfer,No
CUST00274,36,Female,Basic,27.96,64,5,17.73,Mobile Wallet,No
CUST00275,37,Male,Standard,33.22,68,1,10.92,Card,No
CUST00276,49,Female,Basic,32.16,56,5,20.13,Cash,No
CUST00277,24,Male,Basic,31.86,14,3,9.56,Mobile Wallet,No
CUST00278,69,Female,Standard,49.63,2,3,36.38,Card,No
CUST00279,58,Male,Premium,69.47,63,8,27.75,,No
CUST00280,50,Female,Basic,35.48,19,4,7.02,Mobile Wallet,Yes
CUST00281,57,Female,Standard,48.11,71,2,9.95,Card,Yes
CUST00282,56,Female,Basic,41.52,9,1,10.47,Card,No
CUST00283,35,Female,Basic,31.93,33,4,31.07,Card,Yes
CUST00284,57,Female,Basic,21.59,61,4,10.6,Cash,No
CUST00285,18,Female,Standard,64.06,44,4,20.98,Bank Transfer,No
CUST00286,28,Female,Basic,31.31,65,1,12.56,Bank Transfer,No
CUST00287,45,Male,Standard,43.16,57,5,17.93,Card,No
CUST00288,42,Male,Basic,15.0,24,5,26.28,Card,No
CUST00289,67,Female,Basic,26.16,44,4,45.0,Cash,No
CUST00290,40,Female,Basic,20.32,68,3,42.31,Bank Transfer,No
CUST00291,48,Male,Premium,78.49,6,3,12.29,Mobile Wallet,Yes
CUST00292,47,Male,Standard,33.12,67,2,9.24,Mobile Wallet,No
CUST00293,59,Female,Premium,78.0,34,6,20.03,Mobile Wallet,Yes
CUST00294,52,Male,Standard,38.97,25,1,37.25,Mobile Wallet,No
CUST00295,24,Male,Basic,23.74,27,7,12.87,Mobile Wallet,No
CUST00296,33,Female,Standard,51.89,18,4,13.86,Bank Transfer,Yes
CUST00297,43,Female,Basic,30.28,5,4,6.4,Card,No
CUST00298,65,Female,Standard,42.85,44,3,18.43,Bank Transfer,No
CUST00299,69,Male,Basic,34.51,5,2,24.43,Card,No
CUST00300,66,Female,Basic,27.6,61,2,35.07,Card,No
CUST00301,19,Female,Standard,57.83,6,2,34.31,Bank Transfer,Yes
CUST00302,18,Male,Standard,45.82,39,5,39.24,Cash,No
CUST00303,65,Female,Premium,77.64,8,8,24.73,Bank Transfer,No
CUST00304,29,Male,Standard,45.81,43,2,12.84,Mobile Wallet,No
CUST00305,22,Male,Standard,43.05,41,4,38.19,Bank Transfer,No
CUST00306,54,Male,Basic,33.43,69,5,41.2,Mobile Wallet,No
CUST00307,49,Male,Premium,86.25,30,1,38.43,Card,No
CUST00308,26,Male,Standard,44.59,59,5,14.69,Card,Yes
CUST00309,58,Male,Standard,55.42,23,5,7.53,Card,Yes
CUST00310,52,Female,Basic,31.57,57,2,34.7,Bank Transfer,No
CUST00311,36,Female,Standard,51.47,25,2,36.8,Card,No
CUST00312,65,Female,Basic,29.86,48,1,43.79,Cash,Yes
CUST00313,33,Male,Standard,35.94,70,4,33.74,Card,Yes
CUST00314,20,Female,Premium,88.32,42,4,14.78,Mobile Wallet,Yes
CUST00315,37,Male,Premium,39.92,29,4,22.04,Card,No
CUST00316,41,Female,Standard,39.51,71,4,34.93,Card,No
CUST00317,50,Male,Premium,52.43,45,2,16.98,Mobile Wallet,No
CUST00318,41,Female,Basic,19.26,41,4,39.88,Card,No
CUST00319,69,Male,Premium,69.0,63,3,22.08,Mobile Wallet,No
CUST00320,28,Female,Standard,46.46,47,2,48.08,Card,No
CUST00321,66,Male,Standard,45.48,1,2,15.99,Card,No
CUST00322,25,Female,Premium,86.36,20,2,19.95,Mobile Wallet,No
CUST00323,53,Male,Premium,82.68,19,3,15.02,Bank Transfer,Yes
CUST00324,55,Female,Basic,19.6,65,1,22.83,Bank Transfer,No
CUST00325,57,Female,Standard,63.52,36,4,26.02,Cash,No
CUST00326,37,Female,Basic,25.96,23,4,31.94,Bank Transfer,No
CUST00327,52,Male,Premium,82.52,29,7,15.68,Mobile Wallet,No
CUST00328,65,Male,Standard,43.58,44,5,16.75,Bank Transfer,No
CUST00329,42,Male,Basic,25.32,7,2,16.09,Card,No
CUST00330,52,Male,Standard,36.94,31,6,23.65,Cash,Yes
CUST00331,42,Male,Standard,46.87,38,8,40.92,Card,No
CUST00332,46,Female,Standard,50.23,66,5,32.89,Bank Transfer,No
CUST00333,35,Male,Basic,32.37,22,0,16.43,Card,No
CUST00334,63,Female,Basic,27.18,54,1,12.07,Bank Transfer,No
CUST00335,35,Female,Standard,57.42,54,5,21.09,Cash,No
CUST00336,19,Male,Basic,25.37,6,2,11.61,Card,No
CUST00337,52,Female,Standard,45.41,62,1,65.03,Card,No
CUST00338,33,Male,Standard,49.94,29,2,28.84,Mobile Wallet,No
CUST00339,58,Male,Basic,24.7,43,4,36.27,Mobile Wallet,No
CUST00340,53,Male,Standard,44.01,67,3,6.27,Mobile Wallet,No
CUST00341,50,Female,Standard,52.22,62,1,25.63,Cash,No
CUST00342,21,Male,Standard,51.95,13,5,24.92,Mobile Wallet,No
CUST00343,50,Male,Standard,49.75,64,7,19.91,Card,No
CUST00344,31,Male,Standard,58.63,47,5,12.37,Card,No
CUST00345,38,Female,Basic,38.69,60,2,48.01,Cash,No
CUST00346,65,Male,Premium,72.09,15,0,14.24,Bank Transfer,No
CUST00347,37,Female,Basic,30.2,5,2,34.85,Card,No
CUST00348,25,Female,Premium,74.2,69,3,20.27,Bank Transfer,No
CUST00349,24,Male,Standard,48.41,2,1,43.13,Card,No
CUST00350,20,Female,Premium,62.61,38,5,23.46,Bank Transfer,No
CUST00351,34,Female,Standard,47.93,54,7,76.29,Mobile Wallet,No
CUST00352,50,Male,Basic,39.29,39,3,44.95,Cash,No
CUST00353,65,Male,Premium,85.39,20,1,16.63,Bank Transfer,No
CUST00354,29,Male,Basic,31.01,20,1,13.44,Bank Transfer,No
CUST00355,68,Female,Basic,30.22,29,5,43.59,Card,No
CUST00356,39,Male,Basic,31.2,35,2,31.44,Mobile Wallet,No
CUST00357,39,Female,Premium,73.25,32,3,4.25,Mobile Wallet,No
CUST00358,63,Female,Standard,46.0,17,5,24.54,Bank Transfer,Yes
CUST00359,47,Female,Standard,51.92,51,4,21.99,Mobile Wallet,Yes
CUST00360,55,Female,Standard,52.14,8,3,27.46,Card,No
CUST00361,55,Female,Standard,40.2,21,2,12.96,Card,No
CUST00362,62,Male,Standard,45.39,23,2,12.34,Card,No
CUST00363,68,Male,Standard,33.03,51,2,14.93,Bank Transfer,No
CUST00364,25,Female,Premium,65.86,6,0,21.0,Card,No
CUST00365,44,Female,Basic,24.95,52,2,10.93,Mobile Wallet,No
CUST00366,44,Male,Basic,35.99,8,3,28.93,Cash,No
CUST00367,51,Male,Standard,39.99,69,8,27.16,Cash,No
CUST00368,38,Female,Standard,49.2,33,4,59.0,Card,No
CUST00369,47,Female,Standard,51.62,62,2,26.05,Card,No
CUST00370,50,Male,Standard,54.62,65,4,9.24,Cash,No
CUST00371,45,Male,Basic,31.91,63,1,10.58,Card,No
CUST00372,64,Female,Standard,46.87,32,3,13.39,Cash,No
CUST00373,50,Male,Standard,48.58,55,1,63.53,Mobile Wallet,No
CUST00374,22,Male,Basic,21.75,33,2,8.57,Mobile Wallet,No
CUST00375,65,Female,Standard,45.76,38,6,15.23,Card,No
CUST00376,36,Female,Basic,19.49,2,2,46.27,Mobile Wallet,No
CUST00377,21,Female,Standard,46.22,10,6,52.71,Card,No
CUST00378,52,Male,Basic,22.71,66,7,30.41,Bank Transfer,No
CUST00379,66,Female,Premium,74.5,15,4,22.08,Bank Transfer,Yes
CUST00380,34,Male,Standard,59.32,61,4,23.89,Bank Transfer,No
CUST00381,61,Female,Basic,34.75,31,1,16.54,Cash,Yes
CUST00382,45,Female,Standard,69.25,38,3,8.19,Mobile Wallet,No
CUST00383,47,Male,Premium,99.26,29,3,46.69,Cash,No
CUST00384,46,Male,Standard,47.73,43,4,17.63,Card,No
CUST00385,63,Female,Premium,98.2,23,5,14.37,Mobile Wallet,Yes
CUST00386,70,Female,Basic,35.06,25,3,37.41,Cash,No
CUST00387,23,Male,Premium,85.76,28,4,27.77,Card,Yes
CUST00388,52,Female,Standard,47.12,72,10,37.88,Cash,No
CUST00389,58,Male,Basic,34.68,1,4,20.95,Card,No
CUST00390,54,Male,Standard,36.2,20,2,64.5,Cash,No
CUST00391,41,Female,Premium,65.49,29,2,25.43,Mobile Wallet,No
CUST00392,46,Male,Standard,55.16,8,1,17.05,Bank Transfer,No
CUST00393,66,Male,Standard,59.48,62,0,21.75,Card,No
